index_in_path,lat,lng,altitude,heading,roll,tilt,distance_from_ground
36,37.42710428871668,-122.28369860948403,214.92,127.2,0.0,43.6,200
37,37.42710266057752,-122.28369590859393,215.33,127.2,0.0,44.4,200
38,37.42710109387236,-122.2836933096156,215.74,127.2,0.0,45.1,200
39,37.4270994035661,-122.28369050559775,216.14,127.2,0.0,45.8,200
40,37.427097649532044,-122.28368759586307,216.55,127.2,0.0,46.5,200
41,37.42709578151058,-122.28368449703692,216.95,127.2,0.0,47.2,200
42,37.42709386593853,-122.28368131933009,217.35,127.2,0.0,47.8,200
43,37.427091762691255,-122.28367783029238,217.75,127.2,0.0,48.4,200
44,37.42708963719977,-122.28367430435428,218.15,127.2,0.0,48.9,200
45,37.42708756233568,-122.2836708624011,218.55,127.2,0.0,49.4,200
46,37.4270853167183,-122.28366713718862,218.94,127.2,0.0,49.9,200
47,37.42708303693285,-122.2836633552955,219.34,127.2,0.0,50.4,200
48,37.42708088530385,-122.2836597859988,219.73,127.2,0.0,50.8,200
49,37.42707874629391,-122.28365623763568,220.12,127.2,0.0,51.3,200
50,37.42707656188174,-122.2836526139558,220.51,127.2,0.0,51.6,200
51,37.42707457014177,-122.28364930989623,220.89,127.2,0.0,52.0,200
52,37.42707263297495,-122.28364609636714,221.28,127.2,0.0,52.3,200
53,37.42707073886318,-122.28364295426132,221.66,127.2,0.0,52.6,200
54,37.427068835219934,-122.28363979634398,222.04,127.2,0.0,52.9,200
55,37.42706701631919,-122.28363677900442,222.42,127.2,0.0,53.2,200
56,37.42706536010914,-122.28363403154943,222.79,127.2,0.0,53.4,200
57,37.427063755703756,-122.28363137003221,223.17,127.2,0.0,53.6,200
58,37.42706204585114,-122.28362853359067,223.54,127.2,0.0,53.8,200
59,37.427060472430256,-122.28362592347315,223.91,127.2,0.0,54.0,200
60,37.42705882823892,-122.28362319595597,224.28,127.2,0.0,54.2,200
61,37.427057097728586,-122.28362032524592,224.64,127.2,0.0,54.3,200
62,37.42705550766647,-122.28361768752278,225,127.2,0.0,54.5,200
63,37.42705391797433,-122.28361505041342,225.36,127.2,0.0,54.6,200
64,37.427052311482576,-122.28361238543557,225.72,127.2,0.0,54.7,200
65,37.4270506999032,-122.28360971201805,226.08,127.2,0.0,54.8,200
66,37.427049194371094,-122.28360721452029,226.43,127.2,0.0,54.8,200
67,37.42704764731963,-122.28360464814695,226.78,127.2,0.0,54.9,200
68,37.427046117403506,-122.28360211019914,227.13,127.2,0.0,55.0,200
69,37.42704455991479,-122.28359952651176,227.48,127.2,0.0,55.0,200
70,37.42704313495322,-122.2835971626711,227.82,127.2,0.0,55.0,200
71,37.427041673396104,-122.28359473812283,228.16,127.2,0.0,55.1,200
72,37.42704015932598,-122.28359222646185,228.5,127.2,0.0,55.1,200
73,37.427038627335726,-122.28358968507357,228.83,127.2,0.0,55.1,200
74,37.427037253637,-122.28358740627199,229.17,127.2,0.0,55.1,200
75,37.427035976022914,-122.28358528686334,229.5,127.2,0.0,55.1,200
